Date,Open,High,Low,Close,Adj Close,Volume
2021-02-17,779.090027,799.840027,762.010010,798.150024,798.150024,25996500
2021-02-18,780.900024,794.690002,776.270020,787.380005,787.380005,17957100
2021-02-19,795.000000,796.789978,777.369995,781.299988,781.299988,18958300
2021-02-22,762.640015,768.500000,710.200012,714.500000,714.500000,37269700
2021-02-23,662.130005,713.609985,619.000000,698.840027,698.840027,66606900
2021-02-24,711.849976,745.000000,694.169983,742.020020,742.020020,36767000
2021-02-25,726.150024,737.210022,670.580017,682.219971,682.219971,39023900
2021-02-26,700.000000,706.700012,659.510010,675.500000,675.500000,41089200
2021-03-01,690.109985,719.000000,685.049988,718.429993,718.429993,27136200
2021-03-02,718.280029,721.109985,685.000000,686.440002,686.440002,23732200
2021-03-03,687.989990,700.700012,651.710022,653.200012,653.200012,30208000
2021-03-04,655.799988,668.450012,600.000000,621.440002,621.440002,65919500
2021-03-05,626.059998,627.840027,539.489990,597.950012,597.950012,89396500
2021-03-08,600.549988,620.130005,558.789978,563.000000,563.000000,51787000
2021-03-09,608.179993,678.090027,595.210022,673.580017,673.580017,67523300
2021-03-10,700.299988,717.849976,655.059998,668.059998,668.059998,60605700
2021-03-11,699.400024,702.500000,677.179993,699.599976,699.599976,36253900
2021-03-12,670.000000,694.880005,666.140015,693.729980,693.729980,33583800
2021-03-15,694.090027,713.179993,684.039978,707.940002,707.940002,29335600
2021-03-16,703.349976,707.919983,671.000000,676.880005,676.880005,32195700
2021-03-17,656.869995,703.729980,651.010010,701.809998,701.809998,40372500
2021-03-18,684.289978,689.229980,652.000000,653.159973,653.159973,33224800
2021-03-19,646.599976,657.229980,624.619995,654.869995,654.869995,42894000
2021-03-22,684.590027,699.619995,668.750000,670.000000,670.000000,39512200
2021-03-23,675.770020,677.799988,657.510010,662.159973,662.159973,30491900
2021-03-24,667.909973,668.020020,630.109985,630.270020,630.270020,33795200
2021-03-25,613.000000,645.500000,609.500000,640.390015,640.390015,39224900
2021-03-26,641.869995,643.820007,599.890015,618.710022,618.710022,33852800
2021-03-29,615.640015,616.479980,596.020020,611.289978,611.289978,28637000
2021-03-30,601.750000,637.659973,591.010010,635.619995,635.619995,39432400
2021-03-31,646.619995,672.000000,641.109985,667.929993,667.929993,33337300
2021-04-01,688.369995,692.419983,659.419983,661.750000,661.750000,35298400
